CONTENTID,CONTENTTYPEID,TITLE,ADDR1,ADDR2,AREACODE,CAT1,CAT2,CAT3,CREATEDTIME,FIRSTIMAGE,FIRSTIMAGE2,MAPX,MAPY,MLEVEL,MODIFIEDTIME,SIGUNGUCODE,ZIPCODE,TEL,DATA_CONNO,OPERT_TPCD,OCCRR_DTM,CNTCT_BGN_DTM,CNTCT_PRCES_DTM,CNTCT_PRCES_STCD,TRNSA_ID
2755053,39,가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332,(대포동),39,A05,A0502,A05020100,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2755047_image2_1.jpg,126.4313173,33.24968431,6,2.0211E+13,3,63544,NULL,12,I,2.02111E+13,NULL,NULL,N,NULL
2507936,39,가람복집,전라남도 여수시 화산로 20,NULL,38,A05,A0502,A05020100,2.01701E+13,NULL,NULL,127.6408868,34.77152945,6,2.02002E+13,13,59643,061-683-3559,13,I,2.02111E+13,NULL,NULL,N,NULL
2640274,39,가랑드,전라남도 곡성군 곡성읍 읍내18길 6,NULL,38,A05,A0502,A05020900,2.01912E+13,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,127.2985233,35.28252717,6,2.02111E+13,3,57535,061-363-0865,14,I,2.02111E+13,NULL,NULL,N,NULL
2768070,39,가래울 해장국,경기도 여주시 점동면 가래울길 29,NULL,31,A05,A0502,A05020100,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2768293_image2_1.jpg,127.675607,37.20518375,6,2.02111E+13,20,12665,NULL,15,I,2.02111E+13,NULL,NULL,N,NULL
2768130,39,가리비칼국수,인천광역시 남동구 오봉동로4번길 9,(도림동),2,A05,A0502,A05020100,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/75/2769975_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2769975_image3_1.jpg,126.7298895,37.41680055,6,2.02111E+13,4,21656,NULL,16,I,2.02111E+13,NULL,NULL,N,NULL
608471,39,가리산막국수,강원도 홍천군 두촌면 가리산길23번길 7,NULL,32,A05,A0502,A05020100,2.00808E+13,http://tong.visitkorea.or.kr/cms/resource/30/610830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/610830_image3_1.jpg,128.0138245,37.83812785,6,2.02101E+13,16,25164,033-435-2704,17,I,2.02111E+13,NULL,NULL,N,NULL
2685271,39,가마골,서울특별시 강동구 고덕로38길 63,NULL,1,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/54/2684754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2684754_image2_1.jpg,127.1427398,37.55172837,6,2.02103E+13,2,5257,02-3426-6460,18,I,2.02111E+13,NULL,NULL,N,NULL
2525533,39,가마골백숙,경기도 양주시 장흥면 북한산로 1028,NULL,31,A05,A0502,A05020100,2.01712E+13,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,126.9712897,37.71358701,6,2.02101E+13,18,11523,031-861-4800,19,I,2.02111E+13,NULL,NULL,N,NULL
2682774,39,가마로강정 신길삼거리,서울특별시 영등포구 영등포로64길 11,NULL,1,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/38/2682638_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2682638_image2_1.jpg,126.9172781,37.51424534,6,2.02103E+13,20,7317,02-849-9288,20,I,2.02111E+13,NULL,NULL,N,NULL
1953272,39,가마목,서울특별시 종로구 종로8길 16,NULL,1,A05,A0502,A05020100,2.0141E+13,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,126.9838371,37.5693679,6,2.02002E+13,23,3189,02-737-4987,21,I,2.02111E+13,NULL,NULL,N,NULL
2577474,39,가마솥국밥,경상남도 거제시 동부면 동부로 2,NULL,36,A05,A0502,A05020100,2.01812E+13,NULL,NULL,128.6074567,34.82273243,6,2.02002E+13,1,53331,055-632-5363,22,I,2.02111E+13,NULL,NULL,N,NULL
2688186,39,가마솥나주곰탕,전라남도 해남군 산이면 관광레저로 1737,NULL,38,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/58/2701458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2701458_image2_1.jpg,126.3629483,34.69445832,6,2.02103E+13,23,59015,061-537-5205,23,I,2.02111E+13,NULL,NULL,N,NULL
2577481,39,가마솥보리밥,경상남도 거제시 거제중앙로5길 18,"(고현동),1층",36,A05,A0502,A05020100,2.01812E+13,NULL,NULL,128.6269536,34.87770164,6,2.02005E+13,1,53258,055-637-8819,24,I,2.02111E+13,NULL,NULL,N,NULL
135696,39,가마솥손두부,인천광역시 미추홀구 소성로326번길 4,NULL,2,A05,A0502,A05020100,2.00706E+13,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image3_1.jpg,126.683246,37.43739733,6,2.02109E+13,3,22238,032-426-7270,25,I,2.02111E+13,NULL,NULL,N,NULL
2745657,39,가마솥에 누른 밥,대구광역시 동구 서촌로23길 13-11,(덕곡동),4,A05,A0502,A05020100,2.02109E+13,http://tong.visitkorea.or.kr/cms/resource/90/2746190_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2746190_image2_1.jpg,128.6205184,35.9841103,6,2.02109E+13,4,41000,NULL,26,I,2.02111E+13,NULL,NULL,N,NULL
2580070,39,가마솥집,대전광역시 중구 계백로 1709-20,(오류동),3,A05,A0502,A05020100,2.01812E+13,NULL,NULL,127.4091638,36.32251925,6,2.02007E+13,5,34909,042-534-4866,27,I,2.02111E+13,NULL,NULL,N,NULL
2575770,39,가마솥추어탕,경상남도 창원시 의창구 북면 천주로 1019-22,NULL,36,A05,A0502,A05020100,2.01812E+13,NULL,NULL,128.6025209,35.34439331,6,2.0211E+13,16,51103,055-298-1115,28,I,2.02111E+13,NULL,NULL,N,NULL
2689524,39,가마숯불식육,경상북도 안동시 경동로 944,NULL,35,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/72/2684372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2684372_image2_1.jpg,128.7575483,36.55502016,6,2.02103E+13,11,36724,054-821-7473,29,I,2.02111E+13,NULL,NULL,N,NULL
728386,39,가매일식,광주광역시 서구 상무대로 1104-26,NULL,5,A05,A0502,A05020300,2.00904E+13,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image3_1.jpg,126.8838216,35.15251533,6,2.0211E+13,5,61981,062-352-7711,30,I,2.02111E+13,NULL,NULL,N,NULL
1052741,39,가문,서울특별시 강북구 노해로 13,NULL,1,A05,A0502,A05020400,2.01006E+13,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image3_1.jpg,127.0226983,37.63682465,6,2.02108E+13,3,1080,02-990-0107,31,I,2.02111E+13,NULL,NULL,N,NULL
2650410,39,가문잔치,제주특별자치도 서귀포시 칠십리로 191,NULL,39,A05,A0502,A05020100,2.02003E+13,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,126.5732607,33.24657856,6,2.02103E+13,3,63597,064-732-9886,32,I,2.02111E+13,NULL,NULL,N,NULL
2685272,39,가미분식,서울특별시 서대문구 이화여대8길 2,NULL,1,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/85/2684785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2684785_image2_1.jpg,126.945952,37.55871013,6,2.02103E+13,14,3767,02-364-3948,33,I,2.02111E+13,NULL,NULL,N,NULL
2679033,39,가미우동,서울특별시 마포구 홍익로2길 23,NULL,1,A05,A0502,A05020300,2.0201E+13,http://tong.visitkorea.or.kr/cms/resource/64/2676864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2676864_image2_1.jpg,126.9238736,37.55474075,6,2.02103E+13,13,4055,02-322-3302,34,I,2.02111E+13,NULL,NULL,N,NULL
2680928,39,가벼슬,강원도 평창군 봉평면 이효석길 118-8,NULL,32,A05,A0502,A05020100,2.02011E+13,NULL,NULL,128.3683603,37.61095257,6,2.02011E+13,15,25304,033-336-0609,35,I,2.02111E+13,NULL,NULL,N,NULL
600680,39,가보,인천광역시 부평구 평천로 394,NULL,2,A05,A0502,A05020400,2.00807E+13,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg,126.7340169,37.51721673,6,2.02109E+13,6,21323,032-512-8552,36,I,2.02111E+13,NULL,NULL,N,NULL
811327,39,가보정 4관,경기도 용인시 수지구 수풍로 103,NULL,31,A05,A0502,A05020100,2.00909E+13,NULL,NULL,127.0930339,37.3330084,6,2.02103E+13,23,16821,031-276-3880,37,I,2.02111E+13,NULL,NULL,N,NULL
1953998,39,가빈,경상남도 사천시 각산로 140,(대방동),36,A05,A0502,A05020100,2.0141E+13,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image3_1.jpg,128.0595988,34.93152716,6,2.0211E+13,8,52555,055-835-8755,38,I,2.02111E+13,NULL,NULL,N,NULL
686404,39,가선식당,충청북도 영동군 양산면 금강로 760,NULL,33,A05,A0502,A05020100,2.00901E+13,http://tong.visitkorea.or.kr/cms/resource/07/689607_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/689607_image3_1.jpg,127.6011326,36.124948,6,2.02104E+13,4,29160,043-743-8665,39,I,2.02111E+13,NULL,NULL,N,NULL
1866904,39,가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,NULL,39,A05,A0502,A05020100,2.01312E+13,NULL,NULL,126.7714466,33.35311164,6,2.02101E+13,3,63623,064-787-1035,40,I,2.02111E+13,NULL,NULL,N,NULL
1905703,39,가야산 해인사 홍도식당,경상남도 합천군 가야면 치인1길 16,NULL,36,A05,A0502,A05020100,2.01403E+13,NULL,NULL,128.0876096,35.79159738,6,2.0211E+13,21,50200,055-932-7368,41,I,2.02111E+13,NULL,NULL,N,NULL
2737976,39,가야성,대구광역시 달서구 월배로83길 7,(송현동),4,A05,A0502,A05020400,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/28/2738128_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2738128_image2_1.jpg,128.5513371,35.83149575,6,2.02108E+13,2,42739,NULL,42,I,2.02111E+13,NULL,NULL,N,NULL
2685273,39,가야성,서울특별시 중구 을지로9길 6,NULL,1,A05,A0502,A05020400,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/42/2685142_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2685142_image2_1.jpg,126.988534,37.56655442,6,2.02103E+13,24,4542,02-2267-3939,43,I,2.02111E+13,NULL,NULL,N,NULL
1817987,39,가야성,경기도 평택시 탄현로 371,NULL,31,A05,A0502,A05020400,2.01306E+13,http://tong.visitkorea.or.kr/cms/resource/23/1904023_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1904023_image3_1.jpg,127.0583439,37.08509202,6,2.02007E+13,28,17754,031-666-7027<br />050-4359-7027,44,I,2.02111E+13,NULL,NULL,N,NULL
2736701,39,가야정,경기도 안성시 양성면 양성로 688-4,NULL,31,A05,A0502,A05020100,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/61/2759161_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/61/2759161_image2_1.png,127.2203231,37.10735345,6,2.0211E+13,16,17501,NULL,45,I,2.02111E+13,NULL,NULL,N,NULL
849929,39,가야할매밀면전문점,부산광역시 연제구 월드컵대로145번길 32,NULL,6,A05,A0502,A05020100,2.0091E+13,http://tong.visitkorea.or.kr/cms/resource/15/1866815_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1866815_image3_1.jpg,129.0798725,35.18519494,6,2.02106E+13,13,47540,051-865-8017,46,I,2.02111E+13,NULL,NULL,N,NULL
2741103,39,가연,충청북도 단양군 단양읍 삼봉로 87,NULL,33,A05,A0502,A05020100,2.02109E+13,http://tong.visitkorea.or.kr/cms/resource/30/2741030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2741030_image2_1.jpg,128.3533443,36.97921955,6,2.02109E+13,2,27013,NULL,47,I,2.02111E+13,NULL,NULL,N,NULL
404116,39,가운데집,전라북도 전주시 덕진구 추천로 171,NULL,37,A05,A0502,A05020100,2.00801E+13,http://tong.visitkorea.or.kr/cms/resource/99/401399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/401399_image3_1.jpg,127.1109169,35.85147608,6,2.0211E+13,12,54845,063-211-5366,48,I,2.02111E+13,NULL,NULL,N,NULL
1985801,39,가을빛묵은지,전라남도 장성군 북하면 백양로 1102-1,NULL,38,A05,A0502,A05020100,2.01501E+13,NULL,NULL,126.8791263,35.42492055,6,2.02109E+13,19,57205,061-392-7401,49,I,2.02111E+13,NULL,NULL,N,NULL
2685375,39,가정식당,서울특별시 영등포구 영등포로 118,NULL,1,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/60/2682760_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2682760_image2_1.jpg,126.8946522,37.52136077,6,2.02103E+13,20,7291,02-2636-6697,50,I,2.02111E+13,NULL,NULL,N,NULL
135563,39,가족마당,전라북도 무주군 설천면 만선1로 60,NULL,37,A05,A0502,A05020100,2.00703E+13,http://tong.visitkorea.or.kr/cms/resource/61/1983461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/1983461_image3_1.jpg,127.7554693,35.90474803,6,2.02107E+13,5,55555,063-322-1188,51,I,2.02111E+13,NULL,NULL,N,NULL
579046,39,가족회관,전라북도 전주시 완산구 전라감영5길 17,NULL,37,A05,A0502,A05020100,2.00806E+13,http://tong.visitkorea.or.kr/cms/resource/33/579533_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/579533_image3_1.jpg,127.1459591,35.81706672,6,2.02103E+13,12,55038,063-284-0982,52,I,2.02111E+13,NULL,NULL,N,NULL
2687839,39,가쯔돈까스,경상북도 안동시 옥동1길 2,NULL,35,A05,A0502,A05020200,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/73/2684373_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2684373_image2_1.jpg,128.6994312,36.55852144,6,2.02103E+13,11,36663,010-8711-6595,53,I,2.02111E+13,NULL,NULL,N,NULL
2652903,39,가쯔야,서울특별시 중구 다동길 46,NULL,1,A05,A0502,A05020300,2.02004E+13,http://tong.visitkorea.or.kr/cms/resource/21/2654721_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2654721_image2_1.jpg,126.981729,37.56789581,6,2.02103E+13,24,4522,02-772-9023,54,I,2.02111E+13,NULL,NULL,N,NULL
1887488,39,가창옛날찐빵손만두 본점,대구광역시 달성군 가창면 가창로 1099,NULL,4,A05,A0502,A05020100,2.01401E+13,http://tong.visitkorea.or.kr/cms/resource/60/1876160_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/1876160_image3_1.jpg,128.6221844,35.80267254,6,2.02108E+13,3,42933,053-768-5768,55,I,2.02111E+13,NULL,NULL,N,NULL
2724858,39,가평양떼목장카페,경기도 가평군 설악면 유명로 1209,NULL,31,A05,A0502,A05020900,2.02107E+13,http://tong.visitkorea.or.kr/cms/resource/90/2723990_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2723990_image3_1.jpg,127.4737543,37.64388758,6,2.02107E+13,1,12469,NULL,56,I,2.02111E+13,NULL,NULL,N,NULL
1214552,39,가평장원추어탕,경기도 가평군 가평읍 광장로 5,NULL,31,A05,A0502,A05020100,2.01102E+13,NULL,NULL,127.5111817,37.82620597,6,2.02109E+13,1,12416,031-581-7272,57,I,2.02111E+13,NULL,NULL,N,NULL
2756705,39,가포옛날영도집,경상남도 창원시 마산합포구 가포해안길 37,(가포동),36,A05,A0502,A05020100,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/21/2757021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2757021_image2_1.jpg,128.5728977,35.16921523,6,2.0211E+13,16,51755,NULL,58,I,2.02111E+13,NULL,NULL,N,NULL
132960,39,가화한정식,충청북도 청주시 청원구 내덕로 27,NULL,33,A05,A0502,A05020100,2.00309E+13,http://tong.visitkorea.or.kr/cms/resource/98/1035698_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1035698_image3_1.jpg,127.4833508,36.65708224,6,2.02106E+13,10,28481,043-221-0231,59,I,2.02111E+13,NULL,NULL,N,NULL
1986350,39,간월포구 영양굴밥,충청남도 서산시 부석면 간월도1길 117,NULL,34,A05,A0502,A05020100,2.01501E+13,NULL,NULL,126.413293,36.60564161,6,2.02111E+13,7,32023,041-669-6769,60,I,2.02111E+13,NULL,NULL,N,NULL
2514616,39,갈담부대찌개,경기도 용인시 처인구 모현읍 파담로 140-23,NULL,31,A05,A0502,A05020100,2.01711E+13,http://tong.visitkorea.or.kr/cms/resource/05/2514605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2514605_image2_1.jpg,127.2432761,37.32114025,6,2.02002E+13,23,17036,031-333-9470,61,I,2.02111E+13,NULL,NULL,N,NULL
2735333,39,갈릴리농원_본관,경기도 파주시 탄현면 방촌로 1196,NULL,31,A05,A0502,A05020600,2.02108E+13,http://tong.visitkorea.or.kr/cms/resource/87/2735287_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2735287_image2_1.jpg,126.7457124,37.83556042,6,2.02108E+13,27,10857,NULL,62,I,2.02111E+13,NULL,NULL,N,NULL
626353,39,갈릴리회집,강원도 속초시 장사항해안길 55,NULL,32,A05,A0502,A05020100,2.00809E+13,http://tong.visitkorea.or.kr/cms/resource/24/588124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/588124_image3_1.jpg,128.5876049,38.22644368,6,2.0211E+13,5,24804,033-632-1199,63,I,2.02111E+13,NULL,NULL,N,NULL
2766514,39,갈마가든,충청북도 충주시 살미면 용천갈마길 47,NULL,33,A05,A0502,A05020100,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/57/2767257_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2767257_image2_1.jpg,127.983755,36.88933967,6,2.02111E+13,11,27492,NULL,64,I,2.02111E+13,NULL,NULL,N,NULL
2685459,39,갈매기다방,강원도 강릉시 연곡면 영진길 63,NULL,32,A05,A0502,A05020900,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2684778_image2_1.jpg,128.843004,37.87037334,6,2.02103E+13,1,25429,010-9110-1874,65,I,2.02111E+13,NULL,NULL,N,NULL
2580078,39,갈밭식당,대전광역시 대덕구 대청호수로 1553,(갈전동),3,A05,A0502,A05020100,2.01812E+13,NULL,NULL,127.4653476,36.42773321,6,2.02002E+13,1,34316,042-932-3872,66,I,2.02111E+13,NULL,NULL,N,NULL
2577521,39,갈비1번지,경상남도 거제시 옥포대첩로 48,1층(옥포동),36,A05,A0502,A05020100,2.01812E+13,NULL,NULL,128.6928918,34.89371493,6,2.02107E+13,1,53229,055-688-1458,67,I,2.02111E+13,NULL,NULL,N,NULL
2685364,39,갈비가,서울특별시 영등포구 당산로32길 11,NULL,1,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/57/2682757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2682757_image2_1.jpg,126.89826,37.52641581,6,2.02103E+13,20,7257,02-2671-9246,68,I,2.02111E+13,NULL,NULL,N,NULL
2607508,39,갈비곳간,부산광역시 부산진구 서면문화로 32,NULL,6,A05,A0502,A05020100,2.01906E+13,http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2607511_image2_1.jpg,129.0563669,35.15998622,6,2.02102E+13,7,47256,051-714-4457,69,I,2.02111E+13,NULL,NULL,N,NULL
719757,39,갈비구락부,울산광역시 울주군 삼남읍 남상평2길 34-12,NULL,7,A05,A0502,A05020100,2.00904E+13,NULL,NULL,129.1176727,35.56060627,6,2.02104E+13,5,44948,052-264-4747,70,I,2.02111E+13,NULL,NULL,N,NULL
2766502,39,갈비만대구본점(갈비만),대구광역시 달서구 조암로 58,(월성동),4,A05,A0502,A05020100,2.02111E+13,http://tong.visitkorea.or.kr/cms/resource/23/2766623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2766623_image2_1.jpg,128.5237092,35.82433217,6,2.02111E+13,2,42754,NULL,71,I,2.02111E+13,NULL,NULL,N,NULL
2370833,39,갈비명가 소반,경상남도 창원시 의창구 의창대로70번길 1,NULL,36,A05,A0502,A05020100,2.01602E+13,http://tong.visitkorea.or.kr/cms/resource/55/2370855_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/55/2370855_image2_1.jpeg,128.6081672,35.25733098,6,2.02111E+13,16,51376,055-297-3700,72,I,2.02111E+13,NULL,NULL,N,NULL
699542,39,갈비명가할머니집,경기도 포천시 이동면 화동로 2000,NULL,31,A05,A0502,A05020100,2.00902E+13,http://tong.visitkorea.or.kr/cms/resource/21/700321_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/700321_image3_1.jpg,127.3688777,38.02636613,6,2.02109E+13,29,11111,031-531-1700,73,I,2.02111E+13,NULL,NULL,N,NULL
2568281,39,갈비스토리,전라북도 군산시 하나운1길 15,(나운동),37,A05,A0502,A05020100,2.01811E+13,NULL,NULL,126.6982063,35.96792515,6,2.02105E+13,2,54131,0507-1302-2832,74,I,2.02111E+13,NULL,NULL,N,NULL
2681494,39,감골식당,경기도 평택시 중앙시장로 23-1,NULL,31,A05,A0502,A05020100,2.02011E+13,http://tong.visitkorea.or.kr/cms/resource/76/2681476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2681476_image2_1.jpg,127.0529473,37.08038413,6,2.02103E+13,28,17758,031-666-4281,75,I,2.02111E+13,NULL,NULL,N,NULL
2754736,39,감골오리동탄점,경기도 화성시 풀무골로77번길 7,(중동),31,A05,A0502,A05020100,2.0211E+13,http://tong.visitkorea.or.kr/cms/resource/18/2755118_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2755118_image2_1.jpg,127.1382611,37.20532121,6,2.0211E+13,31,18465,NULL,76,I,2.02111E+13,NULL,NULL,N,NULL
